epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.801,2.19735,4.14449,3.04099,1.62111,0.20187,0.27778,0.14595,0.06332,0.32213,0.18519,0.13194,0.03129,2.14964,3.06499,2.80618,1.49396,6e-05,6e-05,6e-05
2,411.041,2.02666,3.14807,2.32992,1.3767,0.23418,0.25926,0.1683,0.07328,0.22663,0.24074,0.15627,0.03894,2.18375,3.36009,2.19303,1.37373,0.000139307,0.000139307,0.000139307
3,588.696,1.79379,2.76594,1.7803,1.15515,0.30651,0.37037,0.25328,0.08746,0.26604,0.35185,0.19342,0.04745,2.16176,3.66122,1.94751,1.37295,0.000217822,0.000217822,0.000217822
4,784.31,1.55262,2.36779,1.33607,1.14144,0.03605,0.36361,0.02481,0.00979,0.03073,0.31481,0.02153,0.0051,2.43528,5.8148,205.179,1.58412,0.000295545,0.000295545,0.000295545
5,954.82,1.5006,2.41071,1.21378,1.12442,0.13142,0.2037,0.06097,0.02046,0.11366,0.24074,0.04159,0.01008,2.64471,5.47244,9.3661,1.71656,0.000372476,0.000372476,0.000372476
6,1129.04,1.60989,2.26054,1.40668,1.1251,0.22347,0.29847,0.20306,0.05259,0.14027,0.18736,0.1324,0.03171,2.61316,7.34053,5.61984,1.75525,0.000448615,0.000448615,0.000448615
7,1308.23,1.5625,2.27323,1.28196,1.14201,0.27154,0.24074,0.17725,0.06021,0.14316,0.24074,0.06729,0.01184,2.78254,6.72933,2.39342,1.85853,0.000523962,0.000523962,0.000523962
8,1504.34,1.48218,2.24025,1.12065,1.12551,0.00565,0.12963,0.00361,0.00133,0.004,0.11111,0.00239,0.00045,3.86904,18.5252,22.7367,6.44051,0.000598517,0.000598517,0.000598517
9,1694.79,1.67583,2.54128,1.1964,1.21872,0.00075,0.01852,0.00037,0.00011,0,0,0,0,4.4369,66779.9,25574.3,110.672,0.00067228,0.00067228,0.00067228
10,1886.4,1.49794,2.19314,1.06623,1.16502,0.00333,0.09259,0.00184,0.00075,0.004,0.11111,0.00226,0.00055,3.46226,571916,20338.8,162.412,0.000745251,0.000745251,0.000745251
11,2084.82,1.39035,2.12456,1.10101,1.15145,0.00747,0.05556,0.00281,0.00065,0.01214,0.11111,0.00453,0.00064,3.43399,20.732,87.9817,3.29007,0.00081743,0.00081743,0.00081743
12,2295.44,1.46534,2.18899,1.04384,1.15769,0.01503,0.22222,0.00944,0.00242,0.00563,0.14815,0.00411,0.00102,3.67283,8.06384,4.41183,3.1195,0.000888817,0.000888817,0.000888817
13,2486.43,1.42061,2.17215,1.1143,1.17695,0.03539,0.22222,0.01558,0.00545,0.03802,0.12963,0.01643,0.00356,3.06812,31.4196,15.6738,5.00475,0.000959412,0.000959412,0.000959412
14,2712.58,1.39735,2.07477,0.97987,1.15465,0.03242,0.33333,0.0184,0.00658,0.02935,0.31481,0.01637,0.00448,2.67028,10.1375,25.1991,2.93988,0.00102922,0.00102922,0.00102922
15,2919.85,1.40266,2.21625,0.90617,1.14377,0.01203,0.25926,0.00696,0.00207,0.00772,0.16667,0.00452,0.00129,3.39841,178.182,239.701,18.5673,0.00109823,0.00109823,0.00109823
